Auvergne-Rhône-Alpes=01, 03, 07, 15, 26, 38, 42, 43, 63, 69, 73, 74;0
Bourgogne-Franche-Comté=21, 25, 39, 58, 70, 71, 89, 90;0
Bretagne=22, 29, 35, 56;0
Centre-Val de Loire=18, 28, 36, 37, 41, 45;0
Corse=2A, 2B;0
Grand Est=08, 10, 51, 52, 54, 55, 57, 67, 68, 88;0
Hauts-de-France=02, 59, 60, 62, 80;0
Île-de-France=75, 77, 78, 91, 92, 93, 94, 95;0
Normandie=14, 27, 50, 61, 76;0
Nouvelle-Aquitaine=16, 17, 19, 23, 24, 33, 40, 47, 64, 79, 86, 87;0
Occitanie=09, 11, 12, 30, 31, 32, 34, 46, 48, 65, 66, 81, 82;0
Pays de la Loire=44, 49, 53, 72, 85;0
